Quote,Author
"Please subdue the anguish of your soul. Nobody is destined only to happiness or to pain. The wheel of life takes one up and down by turn.","Kalidasa"
"To live content with small means; to seek elegance rather than luxury, and refinement rather than fashion; to be worthy, not respectable, and wealthy, not rich; to listen to stars and birds, babes and sages, with open heart; to study hard; to think quietly, act frankly, talk gently, await occasions, hurry never; in a word, to let the spiritual, unbidden and unconscious, grow up through the common - this is my symphony.","William Henry Channing"
"Each man carries within him the soul of a poet who died young.","Charles Augustin Sainte-Beuve"
"I learned long ago that being Lewis Carroll was infinitely more exciting than being Alice.","Joyce Carol Oates"
"Washing one's hands of the conflict between the powerful and the powerless means to side with the powerful, not to be neutral.","Paulo Freire"
"You have reached the pinnacle of success as soon as you become uninterested in money, compliments, or publicity.","Thomas Wolfe"
"One may have a blazing hearth in one's soul, and yet no one ever comes to sit by it.","Vincent van Gogh"
"No man is an Island, entire of itself; every man is a piece of the Continent, a part of the main; if a clod be washed away by the sea, Europe is the less, as well as if a promontory were, as well as if a manor of thy friends or of thine own were; any man's death diminishes me, because I am involved in Mankind; And therefore never send to know for whom the bell tolls; It tolls for thee.","John Donne"
"Works of imagination should be written in very plain language; the more purely imaginative they are the more necessary it is to be plain.","Samuel Taylor Coleridge"
"It is easier to exclude harmful passions than to rule them, and to deny them admittance than to control them after they have been admitted.","Lucius Annaeus Seneca"
"There would be no society if living together depended upon understanding each other.","Eric Hoffer"
"It is chiefly through books that we enjoy intercourse with superior minds.","William Ellery Channing"
"There's no sauce in the world like hunger.","Miguel de Cervantes"
"I hate mankind, for I think myself one of the best of them, and I know how bad I am.","Samuel Johnson"
"The only wisdom we can hope to acquire is the wisdom of humility: Humility is endless.","T.S. Eliot"
"Sometimes even to live is an act of courage.","Lucius Annaeus Seneca"
"Who is content with nothing possesses all things.","Nicolas Boileau-Despreaux"
"The death of democracy is not likely to be an assassination from ambush. It will be a slow extinction from apathy, indifference, and undernourishment.","Robert Maynard Hutchins"
"Poetry is to prose as dancing is to walking.","John Barrington Wain"
"Beautiful young people are accidents of nature, but beautiful old people are works of art.","Eleanor Roosevelt"
"If a man walks in the woods for love of them half of each day, he is in danger of being regarded as a loafer. But if he spends his days as a speculator, shearing off those woods and making the earth bald before her time, he is deemed an industrious and enterprising citizen.","Henry David Thoreau"
"Of course, it's possible to love a human being - if you don't know them too well.","Charles Bukowski"
"Never attribute to malice that which can be adequately explained by stupidity.","Hanlon's Razor"
"Kindness is in our power, even when fondness is not.","Samuel Johnson"
"Try to learn something about everything and everything about something.","Thomas Huxley"
"The end of the human race will be that it will eventually die of civilization.","Ralph Waldo Emerson"
"What is the function of a critic? So far as I am concerned, he can do me one or more of the following services: 1) Introduce me to authors or works of which I was hitherto unaware. 2) Convince me that I have undervalued an author or a work because I had not read them carefully enough. 3) Show me relations between works of different ages and cultures which I could never have seen for myself because I do not know enough and never shall. 4) Give a 'reading' of a work which increases my understanding of it. 5) Throw light upon the process of artistic 'Making.' 6) Throw light upon the relation of art to life, to science, economics, ethics, religion, etc.","W. H. Auden"
"Drama is life with the dull bits cut out.","Alfred Hitchcock"
"So difficult it is to show the various meanings and imperfections of words when we have nothing else but words to do it with.","John Locke"
"Music was invented to confirm human loneliness.","Lawrence Durrell"
"If thought corrupts language, language can also corrupt thought.","George Orwell"
"What a strange machine man is! You fill him with bread, wine, fish, and radishes, and out come sighs, laughter, and dreams.","Nikos Kazantzakis"
"Excellence in any department can be attained only by the labor of a lifetime; it is not to be purchased at a lesser price.","Samuel Johnson"
"I do not feel obliged to believe that the same God who has endowed us with sense, reason, and intellect has intended us to forgo their use.","Galileo Galilei"
"Am I not destroying my enemies when I make friends of them?","Abraham Lincoln"
"It is the final proof of God's omnipotence that he need not exist in order to save us.","Peter De Vries"
"A writer is somebody for whom writing is more difficult than it is for other people.","Thomas Mann"
"The tax which will be paid for the purpose of education is not more than the thousandth part of what will be paid to kings, priests and nobles who will rise up among us if we leave the people in ignorance.","Thomas Jefferson"
"It is horrifying that we have to fight our own government to save the environment.","Ansel Adams"
"The great tragedy of science - the slaying of a beautiful hypothesis by an ugly fact.","Thomas Huxley"
"Tears are not arguments.","Machado de Assis"
"The best way to find yourself is to lose yourself in the service of others.","Mohandas Karamchand Gandhi"
"The innocent and the beautiful have no enemy but time.","William Butler Yeats"
"Sleep after toil, port after stormy seas, ease after war, death after life does greatly please.","Edmund Spenser"
"To know another language is to have a second soul.","Charlemagne"
"It (death) comes equally to us all, and makes us all equal when it comes.","John Donne"
"All human beings should try to learn before they die what they are running from, and to, and why.","James Thurber"
"People change and forget to tell each other.","Lillian Hellman"
"Happy the people whose annals are blank in the history books!","Charles de Montesquieu"
"I don't necessarily agree with everything I say.","Marshall McLuhan"
"If I am walking with two other men, each of them will serve as my teacher. I will pick out the good points of the one and imitate them, and the bad points of the other and correct them in myself.","Confucius"
"It is often forgotten that (dictionaries) are artificial repositories, put together well after the languages they define. The roots of language are irrational and of a magical nature.","Jorge Luis Borges"
"I saw the angel in the marble and carved until I set him free.","Michelangelo Buonarroti"
"Why does no one confess his sins? Because he is yet in them. It is for a man who has awoke from sleep to tell his dreams.","Lucius Annaeus Seneca"
"A successful man is one who makes more money than a wife can spend. A successful woman is one who can find such a man.","Lana Turner"
"Remember that there is nothing stable in human affairs; therefore avoid undue elation in prosperity, or undue depression in adversity.","Socrates"
"If all men knew what others say of them, there would not be four friends in the world.","Blaise Pascal"
"The future will soon be a thing of the past.","George Carlin"
"I’m always relieved when someone is delivering a eulogy and I realize I’m listening to it.","George Carlin"
"One good reason for maintaining only a small circle of friends is that three out of four murders are committed by people who know the victim.","George Carlin"
"Civilization began its downhill path the day some guy first uttered the words, 'A man’s gotta do what a man’s gotta do.' –George Carlin",""
"I don’t know about you, but I really don’t have a problem with atrocities.  What’s the big deal?  Lighten up.","George Carlin"
"I think many years ago an advanced civilization intervened with us genetically and gave us just enough intelligence to develop dangerous technology but not enough to use it wisely.  Then they sat back to watch the fun.  Kind of like a human zoo.  And you know something?  They’re definitely getting their money’s worth.","George Carlin"
"Do you realize that somewhere in the world there exists someone who qualifies as the worst doctor?  If you took the time, by process of elimination you could actually determine the worst doctor in the world.  And the nicest part is knowing that someone has an appointment to see him tomorrow.","George Carlin"
"So I say live and let live. That's my motto. Live and let live. Anyone who can't go along with that, take him outside and shoot the motherfucker. It's a simple philosophy, but it's always worked in our family.","George Carlin"
"The mayfly lives only one day, and sometimes it rains.","George Carlin"
"No one ever knows what’s next, but they always do it.","George Carlin"
"I envy people who drink - at least they know what to blame everything on.","Oscar Levant"
"Never spend your money before you have it.","Thomas Jefferson"
"A bit beyond perception's reach / I sometimes believe I see / that life is two locked boxes / each containing the other's key.","Piet Hein"
"To do nothing is sometimes a good remedy.","Hippocrates"
"The world is a looking glass, and gives back to every man the reflection of his own face.","William Makepeace Thackeray"
"The penalty that good men pay for not being interested in politics is to be governed by men worse than themselves.","Plato"
"No man ever steps in the same river twice, for it's not the same river and he's not the same man.","Heraclitus"
"Just because you do not take an interest in politics doesn't mean politics won't take an interest in you.","Pericles"
"One of the symptoms of an approaching nervous breakdown is the belief that one's work is terribly important.","Bertrand Russell"
"At bottom, every man knows perfectly well that he is a unique being, only once on this earth; and by no extraordinary chance will such a marvelously picturesque piece of diversity in unity as he is, ever be put together a second time.","Friedrich Nietzsche"
"Three grand essentials to happiness in this life are something to do, something to love, and something to hope for.","Joseph Addison"
"Growth in wisdom can be measured precisely by decline in bile.","Friedrich Wilhelm Nietzsche"
"Home is not where you live but where they understand you.","Christion Morgenstern"
"Money may be the husk of many things but not the kernel. It brings you food, but not appetite; medicine, but not health; acquaintance, but not friends; servants, but not loyalty; days of joy, but not peace or happiness.","Henrik Ibsen"
"Words, like eyeglasses, obscure everything they do not make clear.","Joseph Joubert"
"The fact that a believer is happier than a skeptic is no more to the point than the fact than a drunken man is happier than a sober one.","George Bernard Shaw"
"To kill time is not murder, it's suicide.","William James"
"Every time I see an adult on a bicycle, I no longer despair for the future of the human race.","H.G. Wells"
"He who sings scares away his woes.","Miguel de Cervantes"
"Television's perfect. You turn a few knobs, a few of those mechanical adjustments at which the higher apes are so proficient, and lean back and drain your mind of all thought. And there you are watching the bubbles in the primeval ooze. You don't have to concentrate. You don't have to react. You don't have to remember. You don't miss your brain because you don't need it. Your heart and liver and lungs continue to function normally. Apart from that, all is peace and quiet. You are in the man's nirvana. And if some poor nasty minded person comes along and says you look like a fly on a can of garbage, pay him no mind. He probably hasn't got the price of a television set.","Raymond Thornton Chandler"
"There are no persons capable of stooping so low as those who desire to rise in the world.","Marguerite Guardiner"
"Write with nouns and verbs, not with adjectives and adverbs. The adjective hasn't been built that can pull a weak or inaccurate noun out of a tight place.","William Strunk and E.B. White"
"It is difficult to get a man to understand something when his salary depends upon his not understanding it.","Upton Sinclair"
"He who is cruel to animals becomes hard also in his dealings with men. We can judge the heart of a man by his treatment of animals.","Immanuel Kant"
"The more I study religions the more I am convinced that man never worshipped anything but himself.","Richard Francis Burton"
"The enemy is anybody who's going to get you killed, no matter which side he's on.","Joseph Heller"
"It is not the strongest of the species that survive, nor the most intelligent, but the one most responsive to change.","Charles Darwin"
"The television, that insidious beast, that Medusa which freezes a billion people to stone every night, staring fixedly, that Siren which called and sang and promised so much and gave, after all, so little.","Ray Bradbury"
"Words are a mirror of their times. By looking at the areas in which the vocabulary of a language is expanding fastest in a given period, we can form a fairly accurate impression of the chief preoccupations of society at that time and the points at which the boundaries of human endeavour are being advanced.","John Ayto"
"The wise are instructed by reason, average minds by experience, the stupid by necessity and the brute by instinct.","Marcus Tullius Cicero"
"Beauty is the purgation of superfluities.","Michelangelo Buonarroti"
"I and the public know / What all schoolchildren learn / Those to whom evil is done / Do evil in return.","W.H. Auden"
"Language is a city to the building of which every human being brought a stone.","Ralph Waldo Emerson"
"One has to be a lowbrow, a bit of a murderer, to be a politician, ready and willing to see people sacrificed, slaughtered, for the sake of an idea, whether a good one or a bad one.","Henry Miller"
"Everything secret degenerates, even the administration of justice; nothing is safe that does not show how it can bear discussion and publicity.","Lord Acton"
"If you don't find God in the next person you meet, it is a waste of time looking for him further.","Mahatma Gandhi"
"Don't ask me who's influenced me. A lion is made up of the lambs he's digested, and I've been reading all my life.","Giorgos Seferis"
"The past is a foreign country; they do things differently there.","L.P. Hartley"
"It is always the secure who are humble.","G.K. Chesterton"
"There is one art, no more, no less: to do all things with artlessness.","Piet Hein"
"I thank Thee first because I was never robbed before; second, because although they took my purse they did not take my life; third, because although they took my all, it was not much; and fourth because it was I who was robbed, and not I who robbed.","Matthew Henry"
"You can never understand one language until you understand at least two.","Ronald Searle"
"A proverb is a short sentence based on long experience.","Miguel de Cervantes"
"Facts do not cease to exist because they are ignored.","Aldous Huxley"
"It is only those who have neither fired a shot nor heard the shrieks and groans of the wounded who cry aloud for blood, more vengeance, more desolation. War is hell.","William Tecumseh Sherman"
"What you do is of little significance; but it is very important that you do it.","Mohandas K. Gandhi"
"Trees are the earth's endless effort to speak to the listening heaven.","Rabindranath Tagore"
"I love my country too much to be a nationalist.","Albert Camus"
"The mind is but a barren soil; a soil which is soon exhausted, and will produce no crop, or only one, unless it be continually fertilized and enriched with foreign matter.","Joshua Reynolds"
"My aim is to agitate and disturb people. I'm not selling bread, I'm selling yeast.","Miguel de Unamuno"
"There are books in which the footnotes or comments scrawled by some reader's hand in the margin are more interesting than the text. The world is one of these books.","George Santayana"
"A book lying idle on a shelf is wasted ammunition. Like money, books must be kept in constant circulation. Lend and borrow to the maximum.","Henry Miller"
"If you torture data sufficiently, it will confess to almost anything.","Fred Menger"
"During times of universal deceit, telling the truth becomes a revolutionary act.","George Orwell"
"Too often we enjoy the comfort of opinion without the discomfort of thought.","John F. Kennedy"
"A faith that cannot survive collision with the truth is not worth many regrets.","Arthur C Clarke"
"Live as if you were living a second time, and as though you had acted wrongly the first time.","Viktor Frankl"
"A teacher who is attempting to teach, without inspiring the pupil with a desire to learn, is hammering on a cold iron.","Horace Mann"
"That man is truly good who knows his own dark places.","Beowulf"
"All art is autobiographical; the pearl is the oyster's autobiography.","Federico Fellini"
"The closing years of life are like the end of a masquerade party, when the masks are dropped.","Arthur Schopenhauer"
"Let the gods avenge themselves.","Roman law maxim"
"To fall in love is to create a religion that has a fallible god.","Jorge Luis Borges"
"A man said to the universe: 'Sir I exist!' / 'However,' replied the universe, 'The fact has not created in me / A sense of obligation.","Stephen Crane"
"I have often wondered how it is that every man loves himself more than all the rest of men, but yet sets less value on his own opinion of himself than on the opinion of others.","Marcus Aurelius"
"I cannot believe in a God who wants to be praised all the time.","Friedrich Nietzsche"
"What I like in a good author isn't what he says, but what he whispers.","Logan Pearsall Smith"
"I love mankind. It's the people I can't stand.","Charles Schulz"
"And none will hear the postman's knock / Without a quickening of the heart. / For who can bear to feel himself forgotten?","W.H. Auden"
"Soon silence will have passed into legend. Man has turned his back on silence. Day after day he invents machines and devices that increase noise and distract humanity from the essence of life, contemplation, meditation. Tooting, howling, screeching, booming, crashing, whistling, grinding, and trilling bolster his ego.","Jean Arp"
"Our admiration of fine writing will always be in proportion to its real difficulty and its apparent ease.","Charles Caleb Colton"
"The days come and go like muffled and veiled figures sent from a distant friendly party, but they say nothing, and if we do not use the gifts they bring, they carry them as silently away.","Ralph Waldo Emerson"
"Every act of conscious learning requires the willingness to suffer an injury to one's self-esteem. That is why young children, before they are aware of their own self-importance, learn so easily; and why older persons, especially if vain or important, cannot learn at all.","Thomas Szasz"
"It is human nature to hate the man whom you have hurt.","Publius Cornelius Tacitus"
"The desire of the man is for the woman, but the desire of the woman is for the desire of the man.","Madame de Stael"
"The surest way to corrupt a youth is to instruct him to hold in higher esteem those who think alike than those who think differently.","Friedrich Nietzsche"
"It is kindness immediately to refuse what you intend to deny.","Publilius Syrus"
"If they can get you asking the wrong questions, they don't have to worry about the answers.","Thomas Pynchon"
"Grasp the subject, the words will follow.","Cato the Elder"
"Loneliness... is and always has been the central and inevitable experience of every man.","Thomas Wolfe"
"I am, indeed, a king, because I know how to rule myself.","Pietro Aretino"
"It is easier to make a saint out of a libertine than out of a prig.","George Santayana"
"Any fool can destroy trees. They cannot run away; and if they could, they would still be destroyed, chased and hunted down as long as fun or a dollar could be got out of their bark hides, branching horns, or magnificent bole backbones. Few that fell trees plant them; nor would planting avail much towards getting back anything like the noble primeval forests.","John Muir"
"A language is an exact reflection of the character and growth of its speakers.","Mohandas Karamchand Gandhi"
"Matters of religion should never be matters of controversy. We neither argue with a lover about his taste, nor condemn him, if we are just, for knowing so human a passion.","George Santayana"
"I love America more than any other country in this world, and, exactly for this reason, I insist on the right to criticize her perpetually.","James Baldwin"
"A root is a flower that disdains fame.","Kahlil Gibran"
"Who has not for the sake of his reputation sacrificed himself?","Friedrich Wilhelm Nietzsche"
"Don't tell me the moon is shining; show me the glint of light on broken glass.","Anton Chekhov"
"We are all sculptors and painters, and our material is our own flesh and bones.","Henry David Thoreau"
"To love truth for truth's sake is the principal part of human perfection in this world, and the seed-plot of all other virtues.","John Locke"
"A conservative is one who admires radicals centuries after they're dead.","Leo Rosten"
"The bitterest tears shed over graves are for words left unsaid and deeds left undone.","Harriet Beecher Stowe"
"An idea is not responsible for the people who believe in it.","Don Marquis"
"It is as easy to dream a book as it is hard to write one.","Honore de Balzac"
"Insanity in individuals is something rare - but in groups, parties, nations and epochs, it is the rule.","Friedrich Nietzsche"
"Truth does not change according to our ability to stomach it.","Flannery O'Connor"
"Vocations which we wanted to pursue, but didn't, bleed, like colors, on the whole of our existence.","Honore de Balzac"
"You can't do anything about the length of your life, but you can do something about its width and depth.","H.L. Mencken"
"Emancipation from the bondage of the soil is no freedom for the tree.","Rabindranath Tagore"
"I slept and dreamt that life was joy. I awoke and saw that life was service. I acted and behold, service was joy.","Rabindranath Tagore"
"The life of every man is a diary in which he means to write one story, and writes another, and his humblest hour is when he compares the volume as it is with what he vowed to make it.","J.M. Barrie"
"Happiness in intelligent people is the rarest thing I know.","Ernest Hemingway"
"The more powerful and original a mind, the more it will incline towards the religion of solitude.","Aldous Huxley"
"Interpretation is the revenge of the intellect upon art.","Susan Sontag"
"Not that I want to be a god or a hero. Just to change into a tree, grow for ages, not hurt anyone.","Czeslaw Milosz"
"Several excuses are always less convincing than one.","Aldous Huxley"
"If you want to work on your art, work on your life.","Anton Chekhov"
"The greatest masterpiece in literature is only a dictionary out of order.","Jean Cocteau"
"Nature's laws affirm instead of prohibit. If you violate her laws, you are your own prosecuting attorney, judge, jury, and hangman.","Luther Burbank"
"We can't solve problems by using the same kind of thinking we used when we created them.","Albert Einstein"
"For all our conceits about being the center of the universe, we live in a routine planet of a humdrum star stuck away in an obscure corner ... on an unexceptional galaxy which is one of about 100 billion galaxies. ... That is the fundamental fact of the universe we inhabit, and it is very good for us to understand that.","Carl Sagan"
"In all history there is no war which was not hatched by the governments, the governments alone, independent of the interests of the people, to whom war is always pernicious even when successful.","Leo Tolstoy"
"Power does not corrupt. Fear corrupts... perhaps the fear of a loss of power.","John Steinbeck"
"We are not the same persons this year as last; nor are those we love. It is a happy chance if we, changing, continue to love a changed person.","William Somerset Maugham"
"We perceive when love begins and when it declines by our embarrassment when alone together.","Jean de la Bruyere"
"Literature is the language of society, as speech is the language of man.","Louis de Bonald"
"The problem with being sure that God is on your side is that you can't change your mind, because God sure isn't going to change His.","Roger Ebert"
"Words form the thread on which we string our experiences.","Aldous Huxley"
"We love flattery, even though we are not deceived by it, because it shows that we are of importance enough to be courted.","Ralph Waldo Emerson"
"Travel is fatal to prejudice, bigotry and narrow-mindedness - all foes to real understanding. Likewise, tolerance or broad, wholesome, charitable views of men and things cannot be acquired by vegetating in our little corner of the earth all one's lifetime.","Mark Twain"
"Which of us is not forever a stranger and alone?","Thomas Wolfe"
"The limits of my language mean the limits of my world.","Ludwig Wittgenstein"
"As societies grow decadent, the language grows decadent, too. Words are used to disguise, not to illuminate, action: you liberate a city by destroying it. Words are to confuse, so that at election time people will solemnly vote against their own interests.","Gore Vidal"
"I love you, and because I love you, I would sooner have you hate me for telling you the truth than adore me for telling you lies.","Pietro Aretino"
"The satiated man and the hungry one do not see the same thing when they look upon a loaf of bread.","Rumi"
"Lying is done with words and also with silence.","Adrienne Rich"
"My life is my message.","Mohandas K. Gandhi"
"I fear nothing, I hope for nothing, I am free.","Nikos Kazantzakis"
"You can safely assume that you've created God in your own image when it turns out that God hates all the same people you do.","Anne Lamott"
"We must learn to regard people less in the light of what they do or omit to do, and more in the light of what they suffer.","Dietrich Bonhoeffer"
"A poet looks at the world as a man looks at a woman.","Wallace Stevens"
"Good books don’t give up all their secrets at once.","Stephen King"
"When work is a pleasure, life is a joy! When work is a duty, life is slavery.","Maxim Gorky"
"Permanent good can never be the outcome of untruth and violence.","Mahatma Gandhi"
"Habit converts luxurious enjoyments into dull and daily necessities.","Aldous Huxley"
"Too much consistency is as bad for the mind as it is for the body. Consistency is contrary to nature, contrary to life. The only completely consistent people are the dead. Consistent intellectualism and spirituality may be socially valuable, up to a point; but they make, gradually, for individual death.","Aldous Huxley"
"Speed, it seems to me, provides the one genuinely modern pleasure.","Aldous Huxley"
"So long as men worship the Caesars and Napoleons, Caesars and Napoleons will duly rise and make them miserable.","Aldous Huxley"
"The trouble with fiction...is that it makes too much sense. Reality never makes sense.","Aldous Huxley"
"That men do not learn very much from the lessons of history is the most important of all the lessons that history has to teach.","Aldous Huxley"
"You never see animals going through the absurd and often horrible fooleries of magic and religions. Only man behaves with such gratuitous folly. It is the price he has to pay for being intelligent but not, as yet, intelligent enough.","Aldous Huxley"
"The cradle rocks above an abyss, and common sense tells us that our existence is but a brief crack of light between two eternities of darkness. Although the two are identical twins, man, as a rule, views the prenatal abyss with more calm than the one he is heading for (at some forty-five hundred heartbeats an hour.)","Vladimir Nabokov"
"'Art is simple, art is sincere.' Someday I must trace this vulgar absurdity to its source. A schoolmarm in Ohio? A progressive ass in New York? Because, of course, art at its greatest is fantastically deceitful and complex.","Vladimir Nabokov"
"For moral reasons I am an atheist - for moral reasons. I am of the opinion that you would recognize a creator by his creation, and the world appears to me to be put together in such a painful way that I prefer to believe that it was not created by anyone than to think that somebody created this intentionally.","Stanisław Lem"
"If man had more of a sense of humor, things might have turned out differently.","Stanisław Lem"
"Is it progress if a cannibal uses a knife and fork?","Stanisław Jerzy Lec"
"Dictatorships foster oppression, dictatorships foster servitude, dictatorships foster cruelty; more abominable is the fact that they foster idiocy.","Jorge Luis Borges"
"To die for a religion is easier than to live it absolutely.","Jorge Luis Borges"
"Truly fine poetry must be read aloud. A good poem does not allow itself to be read in a low voice or silently. If we can read it silently, it is not a valid poem: a poem demands pronunciation. Poetry always remembers that it was an oral art before it was a written art. It remembers that it was first song.","Jorge Luis Borges"
"The aesthetic event is something as evident, as immediate, as indefinable as love, the taste of fruit, of water. We feel poetry as we feel the closeness of a woman, or as we feel a mountain or a bay. If we feel it immediately, why dilute it with other words, which no doubt will be weaker than our feelings?","Jorge Luis Borges"
"As I think of the many myths, there is one that is very harmful, and that is the myth of countries… I suppose in the long run, governments and countries will die out and we'll be just, well, cosmopolitans.","Jorge Luis Borges"
"A writer - and, I believe, generally all persons - must think that whatever happens to him or her is a resource. All things have been given to us for a purpose, and an artist must feel this more intensely. All that happens to us, including our humiliations, our misfortunes, our embarrassments, all is given to us as raw material, as clay, so that we may shape our art.","Jorge Luis Borges"
"I cannot walk through the suburbs in the solitude of the night without thinking that the night pleases us because it suppresses idle details, just as our memory does.","Jorge Luis Borges"
"In the course of a life devoted less to living than to reading, I have verified many times that literary intentions and theories are nothing more than stimuli and that the final work usually ignores or even contradicts them.","Jorge Luis Borges"
"Heaven and hell seem out of proportion to me: the actions of men do not deserve so much.","Jorge Luis Borges"
"I have committed the worst sin that can be committed. I have not been happy.","Jorge Luis Borges"
"I don't speak of revenge or forgiveness; forgetting is the only revenge and the only forgiveness.","Jorge Luis Borges"
"I fell in love - that is the only expression I can think of - at once, and am still at the mercy of words, though sometimes now, knowing a little of their behavior very well, I think I can influence them slightly and have even learned to beat them now and then, which they appear to enjoy.","Dylan Thomas"
"A good poem is a contribution to reality. The world is never the same once a good poem has been added to it. A good poem helps to change the shape of the universe, helps to extend everyone's knowledge of himself and the world around him.","Dylan Thomas"
"An alcoholic is someone you don't like who drinks as much as you.","Dylan Thomas"
"He who seeks rest finds boredom. He who seeks work finds rest.","Dylan Thomas"
"Among those whom I like or admire, I can find no common denominator, but among those whom I love, I can: all of them make me laugh.","W. H. Auden"
"Love cannot accept what it is. Everywhere on earth it cries out against kindness, compassion, intelligence, everything that leads to compromise. Love demands the impossible, the absolute, the sky on fire, inexhaustible springtime, life after death, and death itself transfigured into eternal life.","Albert Camus"
"We always deceive ourselves twice about the people we love: first to their advantage, then to their disadvantage.","Albert Camus"
"If I love you, what business is it of yours?","Johann Wolfgang von Goethe"
"We are shaped and fashioned by what we love.","Johann Wolfgang von Goethe"
"Everyone can be great because anyone can serve. You don't have to have a college degree to serve. You don't even have to make your subject and verb agree to serve... You only need a heart full of grace, a soul generated by love.","Dr. Martin Luther King"
"Always love your enemies: nothing annoys them so much.","Oscar Wilde"
"The reading of all good books is like a conversation with the finest men of past centuries.","Rene Descartes"
"Translation is the art of erasing oneself in order to speak in another's voice.","David Cole"
"Life is pleasant. Death is peaceful. It's the transition that's troublesome.","Isaac Asimov"
"At once it struck me what quality went to form a man of achievement, especially in literature, and which Shakespeare possessed so enormously―I mean negative capability, that is, when a man is capable of being in uncertainties, mysteries, doubts, without any irritable reaching after fact and reason.","John Keats"
"They will explain themselves - as all poems should do without any comment.","John Keats"
"I have two luxuries to brood over in my walks, your loveliness and the hour of my death. O that I could have possession of them both in the same minute.","John Keats"
"You are always new. The last of your kisses was ever the sweetest; the last smile the brightest; the last movement the gracefullest.","John Keats"
"The fact that we live at the bottom of a deep gravity well, on the surface of a gas covered planet going around a nuclear fireball 90 million miles away and think this to be normal is obviously some indication of how skewed our perspective tends to be.","Douglas Adams"
"I'd take the awe of understanding over the awe of ignorance any day.","Douglas Adams"
"Human beings, who are almost unique in having the ability to learn from the experience of others, are also remarkable for their apparent disinclination to do so.","Douglas Adams"
"Writing is easy. You only need to stare at a piece of blank paper until your forehead bleeds.","Douglas Adams"
"I don't believe in total freedom for the artist. Left on his own, free to do anything he likes, the artist ends up doing nothing at all. If there's one thing that's dangerous for an artist, it's precisely this question of total freedom, waiting for inspiration and the rest of it.","Federico Fellini"
"It's easier to be faithful to a restaurant than it is to a woman.","Federico Fellini"
"Behind every man now alive stand 30 ghosts, for that is the ratio by which the dead outnumber the living.","Arthur C. Clarke"
"The dinosaurs disappeared because they could not adapt to their changing environment. We shall disappear if we cannot adapt to an environment that now contains spaceships, computers ― and thermonuclear weapons.","Arthur C. Clarke"
"As our own species is in the process of proving, one cannot have superior science and inferior morals. The combination is unstable and self-destroying.","Arthur C. Clarke"
